name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
uppsala,2021-04-27,9,-4.1,3,6.9,-7.2,0.8,-5.5,57.2,0,0,0,,0,0,38.9,24.5,351.2,1016,51.6,45.5,220.8,18.9,7,,2021-04-27T04:58:44,2021-04-27T20:37:06,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-28,8.3,-2.2,3.4,7.2,-2.2,1.9,-3.3,64.5,0,0,0,,0,0,24.9,18.6,221.3,1014.6,89.2,46.1,178,15.3,6,,2021-04-28T04:55:58,2021-04-28T20:39:34,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-29,8.1,-1.9,3.7,6.4,-4.6,2.3,-1.3,71.7,0.005,100,12.5,rain,0,0,24.8,20.9,82.5,1014.3,79,46.2,170.9,14.7,5,,2021-04-29T04:53:14,2021-04-29T20:42:02,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-04-30,10,-5.1,3.6,10,-7.7,2,-4.3,62.1,0,0,0,,0,0,32,17.7,341.5,1012.3,38.8,40.2,207.6,17.9,7,,2021-04-30T04:50:30,2021-04-30T20:44:30,0.58,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02486099999,02460099999,02490099999,02469099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-01,9.6,-4.1,4.3,9.6,-4.1,2.7,-3.7,59.8,0,0,0,,0,0,25,20.8,39.6,1015.3,82.8,41.6,183.3,15.8,5,,2021-05-01T04:47:48,2021-05-01T20:46:58,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-02,10.6,1.4,6.3,10.6,0.4,4.9,-1.4,58.3,0.016,100,20.83,rain,0,0,32.1,21,170.4,1015.5,72.2,45.1,217.9,18.8,7,,2021-05-02T04:45:07,2021-05-02T20:49:25,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-03,10.8,-3.8,5.3,10.8,-4.9,4.7,-1.6,63.6,0.007,100,12.5,rain,0,0,24.6,13.9,11,1010.5,64.2,43,212.6,18.3,6,,2021-05-03T04:42:28,2021-05-03T20:51:53,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"02486099999,02460099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,ESSA,02481099999"
uppsala,2021-05-04,11.2,0.4,6.4,11.2,-1,4.3,-2.2,55.5,0.071,100,29.17,rain,0,0,35.5,24.7,118.3,1004.6,69.5,46.2,170.5,14.7,6,,2021-05-04T04:39:49,2021-05-04T20:54:20,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-05,5,2.1,3.4,0.1,-3.1,-1.7,1.5,87.7,5.859,100,95.83,rain,0,0,50.5,35.4,70.1,995.2,73.9,26.5,35.9,3,1,,2021-05-05T04:37:13,2021-05-05T20:56:46,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-06,3.9,1.7,2.9,-0.3,-2.8,-1.8,1.6,91.6,0.281,100,95.83,"rain,snow",0,0,43.1,25.4,11.5,995.6,98.9,31.6,43.4,3.7,1,,2021-05-06T04:34:37,2021-05-06T20:59:13,0.89,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-07,6.5,1,3.3,5.3,-3.3,0.1,-0.6,77.5,0.432,100,50,"rain,snow",0,0,39.3,27.8,342.5,1003.5,94,41.1,127.2,11,4,,2021-05-07T04:32:03,2021-05-07T21:01:39,0.92,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-08,12,0.6,6.3,12,-0.3,5.5,-0.6,65.2,1.902,100,20.83,rain,0,0,49.7,27.4,268.5,1009.1,54.9,44.7,218.5,18.7,6,,2021-05-08T04:29:31,2021-05-08T21:04:04,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-09,10.1,1.1,5.8,10.1,-0.7,3.9,3.5,86.1,1.988,100,41.67,rain,0,0,42.6,27.9,167.9,1010.2,61.6,30.4,103.5,8.8,4,,2021-05-09T04:27:00,2021-05-09T21:06:29,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-10,16.4,6.6,12.1,16.4,5.3,11.8,9.6,85.5,6.506,100,66.67,rain,0,0,32,21.3,162.4,1007.4,71.2,24.7,162.2,14,7,,2021-05-10T04:24:31,2021-05-10T21:08:53,1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999,F4490"
uppsala,2021-05-11,21,7.7,14.6,21,6.5,14.4,9.3,71.8,0,0,0,,0,0,25.1,21.1,29.2,1012.1,43.1,41.2,253.6,21.9,7,,2021-05-11T04:22:04,2021-05-11T21:11:17,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-12,22.8,6,15.5,22.8,4.7,15.2,7.4,63.2,0,0,0,,0,0,46.3,31.5,133.3,1010.5,2.7,34,273.5,23.4,7,,2021-05-12T04:19:38,2021-05-12T21:13:39,0,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-13,24,9.1,17.8,24,8.1,17.8,8.5,56.4,0,0,0,,0,0,32,21,128.1,1008,12.2,37.1,255.2,21.9,7,,2021-05-13T04:17:15,2021-05-13T21:16:01,0.01,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-14,18.7,7.2,12.5,18.7,4.2,12.2,9,80.4,2.22,100,50,rain,0,0,28.5,20.9,20,1005.9,69.7,27.6,145.4,12.6,6,,2021-05-14T04:14:54,2021-05-14T21:18:22,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-15,13.5,6,9.1,13.5,3.8,8.1,7.8,92,2.39,100,66.67,rain,0,0,25,17.5,75.4,1003.9,93.6,24.4,138.9,11.9,5,,2021-05-15T04:12:34,2021-05-15T21:20:42,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-16,15.5,8.1,11,15.5,6.3,10.2,8,82.8,0.02,100,25,rain,0,0,28.6,17.4,162.3,1005.8,89.9,30,176.8,15.4,7,,2021-05-16T04:10:17,2021-05-16T21:23:01,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-17,15.7,7.6,10.8,15.7,4.6,9.9,8.8,88.4,7.672,100,58.33,rain,0,0,28.5,21,138.2,1002.3,77.6,33,159.7,13.9,6,,2021-05-17T04:08:02,2021-05-17T21:25:18,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"02486099999,02464099999,02460099999,02490099999,ESCM,02456099999,02443099999,02458099999,ESSA,E4931,02481099999"
uppsala,2021-05-18,17.2,6.1,11.2,17.2,4,10.4,7.9,82.6,0,0,0,,0,0,21.1,13.9,205,1005.8,68.4,19.4,203.5,17.5,7,,2021-05-18T04:05:50,2021-05-18T21:27:34,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02460099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-19,17.6,4.9,11.9,17.6,4.9,11.8,7.4,76.2,0.1,100,16.67,rain,0,0,21.7,17.5,336.4,1006.4,61.3,33.9,226.7,19.7,8,,2021-05-19T04:03:40,2021-05-19T21:29:49,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-20,15.8,7.7,11.8,15.8,6.4,11.6,7.4,75.2,0.008,100,4.17,rain,0,0,25,17.4,231.4,1007.4,53.9,40.5,236.3,20.5,6,,2021-05-20T04:01:32,2021-05-20T21:32:02,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02490099999,02456099999,02443099999,02458099999,E4931,02481099999"
uppsala,2021-05-21,14.6,5.2,10,14.6,3.8,9.4,7.2,84.3,2.486,100,33.33,rain,0,0,25,17.5,338.1,1001.6,56.2,41.9,206.9,17.9,7,,2021-05-21T03:59:27,2021-05-21T21:34:13,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02490099999,02469099999,ESCM,02456099999,02443099999,02458099999,E4931,02481099999"
